;;;;;;;;;;;Package.Mass.Value;;
679;3/7/2022;March;Spain;Barcelona;DE;Road;14858;685;0;14858;6850;49,32;FTL
680;3/7/2022;March;Spain;Barcelona;DE;Road;24572;1038;0;24572;10380;74,736;FTL
681;3/7/2022;March;Spain;Barcelona;DE;Road;15884;701;0;15884;7010;50,472;FTL
682;3/7/2022;March;Spain;Barcelona;DE;Road;13024;654;0;13024;6540;47,088;FTL
683;3/7/2022;March;Turkey;Istanbul;UK;Road;32161;1212;0;32161;12120;87,264;FTL
684;3/7/2022;March;Turkey;Istanbul;UK;Road;24951;1334;0;24951;13340;96,048;FTL
685;3/7/2022;March;Turkey;Istanbul;UK;Road;20071;1206;1692;21763;13752;86,832;FTL
686;3/7/2022;March;Turkey;Istanbul;DE;Road;46728;1335;0;46728;13350;96,12;FTL
687;3/7/2022;March;Turkey;Istanbul;DE;Road;35803;1263;0;35803;12630;90,936;FTL
688;3/7/2022;March;Turkey;Istanbul;UK;Road;27681;1480;246;27927;15046;106,56;FTL
689;3/7/2022;March;Turkey;Istanbul;UK;Road;36356;1284;0;36356;12840;92,448;FTL
690;3/7/2022;March;Turkey;Istanbul;DE;Road;28763;1259;0;28763;12590;90,648;FTL
691;3/7/2022;March;Turkey;Istanbul;US;Sea;23694;997;0;23694;9970;71,784;FCL
692;3/7/2022;March;Turkey;Istanbul;US;Sea;23694;997;0;23694;9970;71,784;FCL
693;3/7/2022;March;Turkey;Istanbul;US;Sea;21798;881;0;21798;8810;63,432;FCL
694;3/7/2022;March;Turkey;Istanbul;US;Sea;17325;854;0;17325;8540;61,488;FCL
695;3/7/2022;March;Turkey;Istanbul;US;Sea;18663;898;0;18663;8980;64,656;FCL
696;3/7/2022;March;Turkey;Istanbul;US;Sea;17923;913;0;17923;9130;65,736;FCL
697;3/7/2022;March;Turkey;Istanbul;US;Sea;17923;913;0;17923;9130;65,736;FCL
698;3/14/2022;March;Spain;Madrid;DE;Road;28941;1171;0;28941;11710;84,312;FTL
699;3/14/2022;March;Spain;Barcelona;DE;Road;23561;918;0;23561;9180;66,096;FTL
700;3/14/2022;March;Spain;Barcelona;DE;Road;25135;784;0;25135;7840;56,448;FTL
701;3/14/2022;March;Spain;Barcelona;DE;Road;18600;758;0;18600;7580;54,576;FTL
702;3/14/2022;March;Spain;Barcelona;DE;Road;19746;792;0;19746;7920;57,024;FTL
703;3/14/2022;March;Spain;Barcelona;DE;Road;17440;882;0;17440;8820;63,504;FTL
704;3/14/2022;March;Spain;Barcelona;DE;Road;21022;839;0;21022;8390;60,408;FTL
705;3/14/2022;March;Spain;Barcelona;DE;Road;17825;747;0;17825;7470;53,784;FTL
706;3/14/2022;March;Turkey;Istanbul;UK;Road;44375;1398;0;44375;13980;100,656;FTL
707;3/14/2022;March;Turkey;Istanbul;UK;Road;31600;1442;0;31600;14420;103,824;FTL
708;3/14/2022;March;Turkey;Istanbul;UK;Road;70891;1277;0;70891;12770;91,944;FTL
709;3/14/2022;March;Turkey;Istanbul;UK;Road;29572;1352;0;29572;13520;97,344;FTL
710;3/14/2022;March;Turkey;Istanbul;DE;Road;4526;160;0;4526;1600;11,52;LTL
711;3/14/2022;March;Turkey;Istanbul;DE;Road;37058;1255;0;37058;12550;90,36;FTL
712;3/14/2022;March;Turkey;Istanbul;DE;Road;35469;1338;0;35469;13380;96,336;FTL
713;3/14/2022;March;Turkey;Istanbul;DE;Road;35147;1251;0;35147;12510;90,072;FTL
714;3/14/2022;March;Turkey;Istanbul;US;Sea;16689;1010;0;16689;10100;72,72;FCL
715;3/14/2022;March;Turkey;Istanbul;US;Sea;25818;1014;0;25818;10140;73,008;FCL
716;3/14/2022;March;Turkey;Istanbul;US;Sea;20119;1057;0;20119;10570;76,104;FCL
717;3/14/2022;March;Turkey;Istanbul;US;Sea;11615;381;0;11615;3810;27,432;FCL
718;3/14/2022;March;Turkey;Istanbul;US;Sea;14421;739;0;14421;7390;53,208;FCL
719;3/14/2022;March;Turkey;Istanbul;US;Sea;14421;739;0;14421;7390;53,208;FCL
720;3/14/2022;March;Turkey;Istanbul;US;Sea;15523;911;0;15523;9110;65,592;FCL
721;3/14/2022;March;Turkey;Istanbul;US;Sea;15523;911;0;15523;9110;65,592;FCL
722;3/14/2022;March;Turkey;Istanbul;US;Sea;29306;1016;0;29306;10160;73,152;FCL
723;3/14/2022;March;Turkey;Istanbul;US;Sea;29306;1016;0;29306;10160;73,152;FCL
724;3/14/2022;March;Turkey;Istanbul;US;Sea;15345;633;0;15345;6330;45,576;FCL
725;3/14/2022;March;Turkey;Istanbul;US;Sea;15345;633;0;15345;6330;45,576;FCL
726;3/21/2022;March;Turkey;Istanbul;UK;Road;40693;1327;0;40693;13270;95,544;FTL
727;3/21/2022;March;Spain;Madrid;DE;Road;21158;847;0;21158;8470;60,984;FTL
728;3/21/2022;March;Spain;Barcelona;DE;Road;31627;1002;0;31627;10020;72,144;FTL
729;3/21/2022;March;Spain;Barcelona;DE;Road;21429;992;0;21429;9920;71,424;FTL
730;3/21/2022;March;Spain;Barcelona;DE;Road;35895;1240;0;35895;12400;89,28;FTL
731;3/21/2022;March;Spain;Barcelona;DE;Road;21613;918;0;21613;9180;66,096;FTL
732;3/21/2022;March;Spain;Barcelona;DE;Road;15250;525;0;15250;5250;37,8;FTL
733;3/21/2022;March;Spain;Barcelona;DE;Road;21809;935;0;21809;9350;67,32;FTL
734;3/21/2022;March;Spain;Madrid;DE;Road;28737;806;0;28737;8060;58,032;FTL
735;3/21/2022;March;Turkey;Istanbul;US;Sea;29306;1016;0;29306;10160;73,152;FCL
736;3/21/2022;March;Turkey;Istanbul;US;Sea;20119;1057;0;20119;10570;76,104;FCL
737;3/21/2022;March;Turkey;Istanbul;US;Sea;16842;678;0;16842;6780;48,816;FCL
738;3/21/2022;March;Turkey;Istanbul;US;Sea;17453;950;0;17453;9500;68,4;FCL
739;3/21/2022;March;Turkey;Istanbul;US;Sea;13271;646;0;13271;6460;46,512;FCL
740;3/21/2022;March;Turkey;Istanbul;US;Sea;13271;646;0;13271;6460;46,512;FCL
741;3/21/2022;March;Turkey;Istanbul;UK;Road;27898;1341;0;27898;13410;96,552;FTL
742;3/21/2022;March;Turkey;Istanbul;UK;Road;38371;1413;0;38371;14130;101,736;FTL
743;3/21/2022;March;Turkey;Istanbul;UK;Road;20524;1207;0;20524;12070;86,904;FTL
744;3/21/2022;March;Turkey;Istanbul;DE;Road;47776;1331;0;47776;13310;95,832;FTL
745;3/21/2022;March;Turkey;Istanbul;DE;Road;6209;151;0;6209;1510;10,872;LTL
746;3/21/2022;March;Turkey;Istanbul;UK;Road;37132;1366;0;37132;13660;98,352;FTL
747;3/21/2022;March;Turkey;Istanbul;DE;Road;17313;861;3304;20617;11914;61,992;FTL
748;3/21/2022;March;Turkey;Istanbul;UK;Road;20432;760;4686;25118;12286;54,72;FTL
749;3/21/2022;March;Turkey;Istanbul;UK;Road;22060;1160;0;22060;11600;83,52;FTL
750;3/21/2022;March;Turkey;Istanbul;UK;Road;39113;1324;0;39113;13240;95,328;FTL
751;3/21/2022;March;Turkey;Istanbul;DE;Road;41832;1376;0;41832;13760;99,072;FTL
752;3/21/2022;March;Turkey;Istanbul;DE;Road;8196;287;0;8196;2870;20,664;LTL
753;3/21/2022;March;Turkey;Istanbul;DE;Road;46317;1276;0;46317;12760;91,872;FTL
754;3/28/2022;March;Spain;Barcelona;DE;Road;19963;813;0;19963;8130;58,536;FTL
755;3/28/2022;March;Spain;Barcelona;DE;Road;20359;857;0;20359;8570;61,704;FTL
756;3/28/2022;March;Spain;Barcelona;DE;Road;22418;822;0;22418;8220;59,184;FTL
757;3/28/2022;March;Spain;Barcelona;DE;Road;13309;598;0;13309;5980;43,056;FTL
758;3/28/2022;March;Spain;Barcelona;DE;Road;7414;700;0;7414;7000;50,4;FTL
759;3/28/2022;March;Spain;Barcelona;DE;Road;24133;880;0;24133;8800;63,36;FTL
760;3/28/2022;March;Spain;Barcelona;DE;Road;25596;736;0;25596;7360;52,992;FTL
761;3/28/2022;March;Spain;Barcelona;DE;Road;19963;813;0;19963;8130;58,536;FTL
762;3/28/2022;March;Spain;Barcelona;DE;Road;23461;684;0;23461;6840;49,248;FTL
763;3/28/2022;March;Turkey;Istanbul;UK;Road;54743;1411;0;54743;14110;101,592;FTL
764;3/28/2022;March;Turkey;Istanbul;UK;Road;39420;1427;0;39420;14270;102,744;FTL
765;3/28/2022;March;Turkey;Istanbul;UK;Road;25962;1607;0;25962;16070;115,704;FTL
766;3/28/2022;March;Turkey;Istanbul;UK;Road;9459;297;0;9459;2970;21,384;LTL
767;3/28/2022;March;Turkey;Istanbul;DE;Road;25091;1091;1981;27072;12891;78,552;FTL
768;3/28/2022;March;Turkey;Istanbul;UK;Road;18239;888;3579;21818;12459;63,936;FTL
769;3/28/2022;March;Turkey;Istanbul;DE;Road;30027;1243;0;30027;12430;89,496;FTL
770;3/28/2022;March;Turkey;Istanbul;DE;Road;35071;1366;0;35071;13660;98,352;FTL
771;3/28/2022;March;Turkey;Istanbul;UK;Road;63332;963;0;63332;9630;69,336;FTL
772;3/28/2022;March;Turkey;Istanbul;DE;Road;66268;1262;0;66268;12620;90,864;FTL
773;4/4/2022;April;Spain;Madrid;DE;Road;27908;1035;0;27908;10350;74,52;FTL
774;4/4/2022;April;Spain;Barcelona;DE;Road;26222;1064;0;26222;10640;76,608;FTL
775;4/4/2022;April;Spain;Barcelona;DE;Road;18162;968;0;18162;9680;69,696;FTL
776;4/4/2022;April;Spain;Barcelona;DE;Road;18812;988;0;18812;9880;71,136;FTL
777;4/4/2022;April;Spain;Barcelona;DE;Road;10617;407;0;10617;4070;29,304;FTL
778;4/4/2022;April;Spain;Barcelona;DE;Road;21628;892;0;21628;8920;64,224;FTL
779;4/4/2022;April;Spain;Barcelona;DE;Road;9893;402;0;9893;4020;28,944;FTL
780;4/4/2022;April;Turkey;Istanbul;UK;Road;64585;1321;0;64585;13210;95,112;FTL
781;4/4/2022;April;Turkey;Istanbul;UK;Road;22969;853;0;22969;8530;61,416;FTL
782;4/4/2022;April;Turkey;Istanbul;DE;Road;2841;69;0;2841;690;4,968;FTL
783;4/4/2022;April;Turkey;Istanbul;DE;Road;36323;1330;0;36323;13300;95,76;FTL
784;4/4/2022;April;Turkey;Istanbul;UK;Road;28230;1383;0;28230;13830;99,576;FTL
785;4/4/2022;April;Turkey;Istanbul;UK;Road;38071;1299;0;38071;12990;93,528;FTL
786;4/4/2022;April;Turkey;Istanbul;DE;Road;28767;1217;889;29656;13059;87,624;FTL
787;4/4/2022;April;Turkey;Istanbul;UK;Road;21622;1307;0;21622;13070;94,104;FTL
788;4/4/2022;April;Turkey;Istanbul;DE;Road;23277;1252;0;23277;12520;90,144;FTL
789;4/4/2022;April;Turkey;Istanbul;UK;Road;34660;1227;0;34660;12270;88,344;FTL
790;3/28/2022;March;Turkey;Istanbul;US;Sea;13271;646;0;13271;6460;46,512;FCL
791;3/28/2022;March;Turkey;Istanbul;US;Sea;8976;483;0;8976;4830;34,776;FCL
792;3/28/2022;March;Turkey;Istanbul;US;Sea;24260;971;0;24260;9710;69,912;FCL
793;3/28/2022;March;Turkey;Istanbul;US;Sea;24260;971;0;24260;9710;69,912;FCL
794;3/28/2022;March;Turkey;Istanbul;US;Sea;17347;1018;0;17347;10180;73,296;FCL
795;3/28/2022;March;Turkey;Istanbul;US;Sea;17347;1018;0;17347;10180;73,296;FCL
796;3/28/2022;March;Turkey;Istanbul;US;Sea;10508;434;0;10508;4340;31,248;FCL
797;4/4/2022;April;Turkey;Istanbul;US;Sea;8976;483;0;8976;4830;34,776;FCL
798;4/4/2022;April;Turkey;Istanbul;US;Sea;15058;518;0;15058;5180;37,296;FCL
799;4/4/2022;April;Turkey;Istanbul;US;Sea;15058;518;0;15058;5180;37,296;FCL
800;4/4/2022;April;Turkey;Istanbul;US;Sea;16155;820;0;16155;8200;59,04;FCL
801;4/4/2022;April;Turkey;Istanbul;US;Sea;16155;820;0;16155;8200;59,04;FCL
802;4/4/2022;April;Turkey;Istanbul;US;Sea;25666;1045;0;25666;10450;75,24;FCL
803;4/4/2022;April;Turkey;Istanbul;US;Sea;25666;1045;0;25666;10450;75,24;FCL
804;4/11/2022;April;Turkey;Istanbul;UK;Road;30629;1324;0;30629;13240;95,328;FTL
805;4/11/2022;April;Turkey;Istanbul;UK;Road;35580;1547;0;35580;15470;111,384;FTL
806;4/11/2022;April;Turkey;Istanbul;UK;Road;36422;711;0;36422;7110;51,192;LTL
807;4/11/2022;April;Turkey;Istanbul;US;Sea;19111;984;0;19111;9840;70,848;FCL
808;4/11/2022;April;Turkey;Istanbul;US;Sea;19111;984;0;19111;9840;70,848;FCL
809;4/11/2022;April;Turkey;Istanbul;US;Sea;24107;841;0;24107;8410;60,552;FCL
810;4/11/2022;April;Turkey;Istanbul;US;Sea;24107;841;0;24107;8410;60,552;FCL
811;4/11/2022;April;Turkey;Istanbul;US;Sea;22713;941;0;22713;9410;67,752;FCL
812;4/11/2022;April;Turkey;Istanbul;US;Sea;22713;941;0;22713;9410;67,752;FCL
813;4/11/2022;April;Turkey;Istanbul;DE;Road;4804;252;0;4804;2520;18,144;LTL
814;4/11/2022;April;Turkey;Istanbul;DE;Road;48376;1413;0;48376;14130;101,736;FTL
815;4/11/2022;April;Turkey;Istanbul;UK;Road;34455;1169;1769;36224;13459;84,168;FTL
816;4/11/2022;April;Turkey;Istanbul;UK;Road;34059;1361;0;34059;13610;97,992;FTL
817;4/11/2022;April;Turkey;Istanbul;DE;Road;37961;1339;0;37961;13390;96,408;FTL
818;4/11/2022;April;Turkey;Istanbul;DE;Road;20559;936;2779;23338;12139;67,392;FTL
819;4/11/2022;April;Turkey;Istanbul;DE;Road;38808;1458;0;38808;14580;104,976;FTL
820;4/11/2022;April;Turkey;Istanbul;DE;Road;53864;1296;0;53864;12960;93,312;FTL
821;4/11/2022;April;Spain;Barcelona;CZ;Road;33994;956;0;33994;9560;68,832;FTL
822;4/11/2022;April;Spain;Madrid;CZ;Road;30574;1136;0;30574;11360;81,792;FTL
823;4/11/2022;April;Spain;Barcelona;CZ;Road;15209;1013;0;15209;10130;72,936;FTL
824;4/11/2022;April;Spain;Barcelona;CZ;Road;19815;671;0;19815;6710;48,312;FTL
825;4/11/2022;April;Spain;Barcelona;CZ;Road;19564;733;0;19564;7330;52,776;FTL
826;4/11/2022;April;Spain;Barcelona;CZ;Road;16870;714;0;16870;7140;51,408;FTL
827;4/11/2022;April;Spain;Barcelona;CZ;Road;27408;843;0;27408;8430;60,696;FTL
828;4/18/2022;April;Spain;Barcelona;CZ;Road;6908;797;0;6908;7970;57,384;FTL
829;4/18/2022;April;Spain;Barcelona;CZ;Road;19015;970;0;19015;9700;69,84;FTL
830;4/18/2022;April;Spain;Barcelona;CZ;Road;29195;990;0;29195;9900;71,28;FTL
831;4/18/2022;April;Spain;Madrid;CZ;Road;27556;856;0;27556;8560;61,632;FTL
832;4/18/2022;April;Spain;Barcelona;CZ;Road;20285;864;0;20285;8640;62,208;FTL
833;4/18/2022;April;Spain;Barcelona;CZ;Road;22219;913;0;22219;9130;65,736;FTL
834;4/18/2022;April;Turkey;Istanbul;UK;Road;40263;1503;0;40263;15030;108,216;FTL
835;4/18/2022;April;Turkey;Istanbul;UK;Road;41461;1280;0;41461;12800;92,16;FTL
836;4/18/2022;April;Turkey;Istanbul;UK;Road;33199;1278;0;33199;12780;92,016;FTL
837;4/18/2022;April;Turkey;Istanbul;DE;Road;25282;1451;0;25282;14510;104,472;FTL
838;4/18/2022;April;Turkey;Istanbul;DE;Road;31927;1153;1525;33452;13055;83,016;FTL
839;4/18/2022;April;Turkey;Istanbul;DE;Road;32170;1222;0;32170;12220;87,984;FTL
840;4/18/2022;April;Turkey;Istanbul;DE;Road;6731;287;0;6731;2870;20,664;LTL
841;4/18/2022;April;Turkey;Istanbul;DE;Road;34837;1154;0;34837;11540;83,088;FTL
842;4/25/2022;April;Turkey;Istanbul;UK;Road;30044;1327;0;30044;13270;95,544;FTL
843;4/25/2022;April;Turkey;Istanbul;UK;Road;26160;973;2117;28277;11847;70,056;FTL
844;4/25/2022;April;Turkey;Istanbul;UK;Road;29660;1507;0;29660;15070;108,504;FTL
845;4/25/2022;April;Turkey;Istanbul;UK;Road;39577;1387;0;39577;13870;99,864;FTL
846;4/25/2022;April;Turkey;Istanbul;DE;Road;34483;1202;1194;35677;13214;86,544;FTL
847;4/25/2022;April;Turkey;Istanbul;UK;Road;42361;1323;0;42361;13230;95,256;FTL
848;4/25/2022;April;Turkey;Istanbul;DE;Road;34162;1250;0;34162;12500;90;FTL
849;4/25/2022;April;Turkey;Istanbul;UK;Road;47928;1354;0;47928;13540;97,488;FTL
850;4/25/2022;April;Turkey;Istanbul;UK;Road;8653;357;0;8653;3570;25,704;LTL
851;4/25/2022;April;Turkey;Istanbul;UK;Road;25453;967;4544;29997;14214;69,624;FTL
852;4/25/2022;April;Turkey;Istanbul;UK;Road;29034;1241;0;29034;12410;89,352;FTL
853;4/25/2022;April;Turkey;Istanbul;DE;Road;48979;1261;0;48979;12610;90,792;FTL
854;4/25/2022;April;Turkey;Istanbul;UK;Road;44171;1408;0;44171;14080;101,376;FTL
855;4/25/2022;April;Turkey;Istanbul;UK;Road;24447;1053;2103;26550;12633;75,816;FTL
856;4/25/2022;April;Spain;Madrid;CZ;Road;31778;1006;0;31778;10060;72,432;FTL
857;4/25/2022;April;Spain;Barcelona;CZ;Road;20540;877;0;20540;8770;63,144;FTL
858;4/25/2022;April;Spain;Barcelona;CZ;Road;15143;911;0;15143;9110;65,592;FTL
859;4/25/2022;April;Spain;Barcelona;CZ;Road;11177;547;0;11177;5470;39,384;FTL
860;4/25/2022;April;Spain;Barcelona;CZ;Road;13642;553;0;13642;5530;39,816;FTL
861;5/2/2022;May;Turkey;Istanbul;US;Sea;24107;841;0;24107;8410;60,552;FCL
862;5/2/2022;May;Turkey;Istanbul;US;Sea;22713;941;0;22713;9410;67,752;FCL
863;5/2/2022;May;Turkey;Istanbul;US;Sea;23694;997;0;23694;9970;71,784;FCL
864;5/2/2022;May;Turkey;Istanbul;UK;Road;33015;1284;0;33015;12840;92,448;FTL
865;5/2/2022;May;Turkey;Istanbul;DE;Road;22924;688;0;22924;6880;49,536;LTL
866;5/2/2022;May;Turkey;Istanbul;UK;Road;28858;1215;0;28858;12150;87,48;FTL
867;5/2/2022;May;Turkey;Istanbul;UK;Road;70562;1455;0;70562;14550;104,76;FTL
868;5/2/2022;May;Turkey;Istanbul;UK;Road;14960;842;0;14960;8420;60,624;LTL
869;5/2/2022;May;Turkey;Istanbul;DE;Road;34833;1256;0;34833;12560;90,432;FTL
870;5/2/2022;May;Turkey;Istanbul;DE;Road;37862;1409;0;37862;14090;101,448;FTL
871;5/2/2022;May;Turkey;Istanbul;DE;Road;33072;1356;0;33072;13560;97,632;FTL
872;5/2/2022;May;Spain;Madrid;CZ;Road;32073;819;0;32073;8190;58,968;FTL
873;5/2/2022;May;Spain;Barcelona;CZ;Road;14439;586;0;14439;5860;42,192;FTL
874;5/2/2022;May;Spain;Barcelona;CZ;Road;26702;756;0;26702;7560;54,432;FTL
875;5/2/2022;May;Spain;Barcelona;CZ;Road;21268;721;0;21268;7210;51,912;FTL
876;5/2/2022;May;Spain;Barcelona;CZ;Road;18827;798;0;18827;7980;57,456;FTL
877;5/2/2022;May;Turkey;Istanbul;US;Sea;7264;425;0;7264;4250;30,6;FCL
878;5/2/2022;May;Turkey;Istanbul;US;Sea;34146;908;0;34146;9080;65,376;FCL
879;5/2/2022;May;Turkey;Istanbul;US;Sea;20217;1021;0;20217;10210;73,512;FCL
880;5/2/2022;May;Turkey;Istanbul;US;Sea;18924;1352;0;18924;13520;97,344;FCL
881;5/2/2022;May;Turkey;Istanbul;US;Sea;23225;929;0;23225;9290;66,888;FCL
882;5/9/2022;May;Turkey;Istanbul;DE;Road;4804;252;0;4804;2520;18,144;LTL
883;5/9/2022;May;Turkey;Istanbul;US;Sea;23606;1142;0;23606;11420;82,224;FCL
884;5/9/2022;May;Turkey;Istanbul;US;Sea;23225;929;0;23225;9290;66,888;FCL
885;5/9/2022;May;Turkey;Istanbul;US;Sea;18924;1352;0;18924;13520;97,344;FCL
886;5/9/2022;May;Turkey;Istanbul;US;Sea;20217;1021;0;20217;10210;73,512;FCL
887;5/9/2022;May;Turkey;Istanbul;UK;Road;41105;1421;0;41105;14210;102,312;FTL
888;5/9/2022;May;Turkey;Istanbul;UK;Road;30397;1385;0;30397;13850;99,72;FTL
889;5/9/2022;May;Turkey;Istanbul;UK;Road;63141;1364;0;63141;13640;98,208;FTL
890;5/9/2022;May;Turkey;Istanbul;DE;Road;44035;773;0;44035;7730;55,656;LTL
891;5/9/2022;May;Turkey;Istanbul;UK;Road;28625;1114;0;28625;11140;80,208;LTL
892;5/9/2022;May;Turkey;Istanbul;DE;Road;33412;1126;1148;34560;12408;81,072;FTL
893;5/9/2022;May;Turkey;Istanbul;UK;Road;28299;1050;2464;30763;12964;75,6;FTL
894;5/9/2022;May;Spain;Madrid;CZ;Road;23233;696;0;23233;6960;50,112;FTL
895;5/9/2022;May;Spain;Barcelona;CZ;Road;13731;315;0;13731;3150;22,68;FTL
896;5/9/2022;May;Spain;Barcelona;CZ;Road;15642;543;0;15642;5430;39,096;FTL
897;5/9/2022;May;Spain;Barcelona;CZ;Road;14589;552;0;14589;5520;39,744;FTL
898;5/9/2022;May;Spain;Barcelona;CZ;Road;25594;1018;0;25594;10180;73,296;FTL
899;5/9/2022;May;Spain;Barcelona;CZ;Road;33512;1125;0;33512;11250;81;FTL
900;5/9/2022;May;Spain;Barcelona;CZ;Road;16014;553;0;16014;5530;39,816;FTL
901;5/16/2022;May;Turkey;Istanbul;US;Sea;19603;853;0;19603;8530;61,416;FCL
902;5/16/2022;May;Turkey;Istanbul;US;Sea;17415;818;0;17415;8180;58,896;FCL
903;5/16/2022;May;Turkey;Istanbul;UK;Road;30460;1126;0;30460;11260;81,072;FTL
904;5/16/2022;May;Turkey;Istanbul;DE;Road;50343;1386;0;50343;13860;99,792;FTL
905;5/16/2022;May;Turkey;Istanbul;DE;Road;37717;1288;0;37717;12880;92,736;FTL
906;5/16/2022;May;Turkey;Istanbul;UK;Road;43685;1441;0;43685;14410;103,752;FTL
907;5/16/2022;May;Turkey;Istanbul;UK;Road;48858;931;3033;51891;12343;67,032;FTL
908;5/16/2022;May;Turkey;Istanbul;UK;Road;32855;1273;0;32855;12730;91,656;FTL
909;5/16/2022;May;Turkey;Istanbul;DE;Road;36431;956;2419;38850;11979;68,832;FTL
910;5/16/2022;May;Turkey;Istanbul;UK;Road;33375;1080;0;33375;10800;77,76;LTL
911;5/16/2022;May;Turkey;Istanbul;DE;Road;4994;162;0;4994;1620;11,664;LTL
912;5/16/2022;May;Spain;Madrid;CZ;Road;23704;760;0;23704;7600;54,72;FTL
913;5/16/2022;May;Spain;Madrid;CZ;Road;9000;1039;0;9000;10390;74,808;FTL
914;5/16/2022;May;Spain;Barcelona;CZ;Road;11643;500;0;11643;5000;36;FTL
